Category,Price,Rating,Stock,Discount,Net Price,SaleDate
Unknown,5908.0,3.03583314788547,In Stock,42.0,,2024-06-09
B,9697.0,3.0985746187075898,Unknown,26.0,,2024-06-10
B,8458.0,3.0985746187075898,In Stock,18.0,,2024-06-11
Unknown,4741.0,3.03583314788547,Unknown,27.0,,2024-06-12
A,6943.0,3.089706066939416,Unknown,42.0,,2024-06-13
Unknown,758.0,1.24949775543227,In Stock,28.0,545.76,2024-06-14
Unknown,3169.0,2.619334913499717,In Stock,25.0,2376.75,2024-06-15
C,7953.0,1.572071265516846,In Stock,39.0,4851.33,2024-06-16
Unknown,8793.0,3.006402453214005,Out of Stock,6.0,8265.42,2024-06-17
D,9114.0,3.1168924314498474,In Stock,27.0,,2024-06-18
Unknown,8893.0,2.5193505429065683,In Stock,0.0,8893.0,2024-06-19
A,8713.0,2.3809932611851488,Unknown,30.0,6099.099999999999,2024-06-20
A,1269.0,3.089706066939416,In Stock,38.0,,2024-06-21
Unknown,8069.0,3.03583314788547,In Stock,31.0,,2024-06-22
D,6751.0,2.337782569158563,Unknown,2.0,6615.98,2024-06-23
C,4970.0,2.365565206916858,Unknown,5.0,4721.5,2024-06-24
Unknown,2323.0,3.03583314788547,Unknown,0.0,,2024-06-25
A,5515.0,4.709544999960464,Out of Stock,0.0,5515.0,2024-06-26
Unknown,8846.0,1.3640831526286097,Unknown,4.0,8492.16,2024-06-27
Unknown,2584.0,3.03583314788547,Out of Stock,1.0,,2024-06-28
C,7911.0,2.7657386196907554,Out of Stock,37.0,4983.93,2024-06-29
D,6799.0,3.1168924314498474,Out of Stock,29.0,,2024-06-30
Unknown,4620.0,4.340548431791186,Unknown,10.0,4158.0,2024-07-01
Unknown,9424.0,1.0760737682485182,Out of Stock,0.0,9424.0,2024-07-02
Unknown,8409.0,1.696635601842893,Out of Stock,29.0,5970.389999999999,2024-07-03
Unknown,9063.0,3.624530680172045,Out of Stock,0.0,9063.0,2024-07-04
Unknown,8405.0,1.2189362743316066,In Stock,48.0,4370.6,2024-07-05
Unknown,8070.0,4.220245876716987,Unknown,20.0,6456.0,2024-07-06
D,7564.0,2.576792877375157,In Stock,35.0,4916.6,2024-07-07
D,8555.0,2.3813933482220966,Out of Stock,22.0,6672.900000000001,2024-07-08
Unknown,1870.0,3.03583314788547,In Stock,32.0,,2024-07-09
Unknown,6864.0,2.8934828195730478,Unknown,10.0,6177.6,2024-07-10
C,439.0,2.364554354883883,In Stock,0.0,439.0,2024-07-11
A,1425.0,1.8037601301099573,In Stock,15.0,1211.25,2024-07-12
Unknown,1612.0,3.032991895982947,In Stock,16.0,1354.08,2024-07-13
Unknown,1894.0,2.32948814776713,Out of Stock,0.0,1894.0,2024-07-14
Unknown,8975.0,4.469736333901759,Out of Stock,32.0,6102.999999999999,2024-07-15
Unknown,807.0,3.03583314788547,Unknown,13.0,,2024-07-16
C,2297.0,2.878007508713643,Out of Stock,21.0,,2024-07-17
Unknown,7800.0,3.03583314788547,Unknown,5.0,,2024-07-18
B,1493.0,3.3836236749501865,Out of Stock,45.0,821.1500000000001,2024-07-19
Unknown,2602.0,3.03583314788547,In Stock,0.0,,2024-07-20
D,5381.0,4.767811269419312,Out of Stock,10.0,4842.900000000001,2024-07-21
B,5429.0,1.746249651651913,In Stock,6.0,5103.259999999999,2024-07-22
Unknown,734.0,3.03583314788547,Unknown,10.0,,2024-07-23
B,3365.0,4.175149077636549,In Stock,29.0,2389.15,2024-07-24
D,9318.0,3.319298848791882,Unknown,18.0,7640.76,2024-07-25
Unknown,5220.0,3.03583314788547,In Stock,0.0,,2024-07-26
Unknown,381.0,3.0932853971576586,In Stock,17.0,316.22999999999996,2024-07-27
Unknown,8707.0,3.03583314788547,Out of Stock,39.0,,2024-07-28
Unknown,3604.0,3.03583314788547,In Stock,17.0,,2024-07-29
Unknown,5078.0,4.391163208162469,Out of Stock,6.0,4773.32,2024-07-30
Unknown,8070.0,3.03583314788547,In Stock,28.0,,2024-07-31
C,721.0,2.878007508713643,Unknown,0.0,,2024-08-01
Unknown,6921.0,3.03583314788547,Out of Stock,37.0,,2024-08-02
D,2622.0,3.1168924314498474,Unknown,22.0,,2024-08-03
C,7231.0,2.878007508713643,Unknown,6.0,,2024-08-04
Unknown,340.0,3.03583314788547,Out of Stock,27.0,,2024-08-05
C,9212.0,2.878007508713643,In Stock,0.0,,2024-08-06
C,6472.0,2.878007508713643,Unknown,27.0,,2024-08-07
Unknown,3978.0,3.03583314788547,Out of Stock,19.0,,2024-08-08
Unknown,5746.0,3.03583314788547,Out of Stock,2.0,,2024-08-09
Unknown,3956.0,3.4559452367626182,Unknown,23.0,3046.12,2024-08-10
D,8757.0,3.1168924314498474,In Stock,49.0,,2024-08-11
Unknown,2820.0,3.0889237473550524,Unknown,21.0,2227.8,2024-08-12
D,2001.0,3.1168924314498474,Out of Stock,23.0,,2024-08-13
Unknown,412.0,3.760118968243407,Out of Stock,21.0,325.48,2024-08-14
Unknown,6675.0,3.03583314788547,Unknown,43.0,,2024-08-15
A,4317.0,3.089706066939416,Out of Stock,13.0,,2024-08-16
C,8507.0,4.575949016312601,Out of Stock,41.0,5019.130000000001,2024-08-17
Unknown,6784.0,2.0879591139976266,Out of Stock,13.0,5902.08,2024-08-18
Unknown,7635.0,3.03583314788547,Out of Stock,5.0,,2024-08-19
Unknown,9529.0,1.4609563879698744,In Stock,31.0,6575.009999999999,2024-08-20
Unknown,1595.0,1.306888078818401,Unknown,37.0,1004.85,2024-08-21
Unknown,5669.0,3.03583314788547,Out of Stock,38.0,,2024-08-22
Unknown,5861.0,1.4703921216572344,Out of Stock,40.0,3516.6,2024-08-23
Unknown,2349.0,3.03583314788547,Out of Stock,48.0,,2024-08-24
Unknown,5766.0,3.03583314788547,Out of Stock,3.0,,2024-08-25
Unknown,7362.0,3.03583314788547,Out of Stock,33.0,,2024-08-26
Unknown,3256.0,2.771753928779113,In Stock,45.0,1790.8000000000002,2024-08-27
Unknown,9284.0,3.03583314788547,Out of Stock,45.0,,2024-08-28
C,8597.0,3.517120302288795,In Stock,23.0,6619.6900000000005,2024-08-29
C,4405.0,1.1026822552674769,Unknown,33.0,2951.35,2024-08-30
C,2117.0,2.878007508713643,Unknown,45.0,,2024-08-31
A,8642.0,3.089706066939416,In Stock,43.0,,2024-09-01
A,6022.0,3.089706066939416,In Stock,48.0,,2024-09-02
Unknown,8132.0,2.7658498345678497,In Stock,15.0,6912.2,2024-09-03
Unknown,3170.0,2.1988624853534624,In Stock,18.0,2599.4,2024-09-04
C,2608.0,1.8730838175058309,In Stock,8.0,2399.36,2024-09-05
Unknown,9544.0,1.508629504337426,In Stock,47.0,5058.320000000001,2024-09-06
Unknown,6220.0,1.4109864352582258,Unknown,32.0,4229.599999999999,2024-09-07
Unknown,1959.0,4.96277529037139,Out of Stock,45.0,1077.45,2024-09-08
A,1403.0,3.089706066939416,Unknown,0.0,,2024-09-09
Unknown,3713.0,3.03583314788547,Out of Stock,32.0,,2024-09-10
Unknown,6148.0,3.03583314788547,Unknown,3.0,,2024-09-11
Unknown,3862.0,3.813108432235004,Unknown,22.0,3012.36,2024-09-12
D,9438.0,3.69118375024206,Out of Stock,36.0,6040.32,2024-09-13
B,395.0,3.0985746187075898,In Stock,24.0,,2024-09-14
Unknown,6080.0,4.13238174203871,Out of Stock,18.0,4985.6,2024-09-15
C,5296.0,2.7415569027617632,Out of Stock,34.0,3495.3599999999997,2024-09-16
Unknown,5348.0,1.5872258080389408,Out of Stock,31.0,3690.12,2024-09-17
Unknown,6248.0,2.889130250465094,Unknown,39.0,3811.2799999999997,2024-09-18
Unknown,8369.0,1.7741515707532138,In Stock,44.0,4686.64,2024-09-19
Unknown,3155.0,2.7562541960267173,In Stock,6.0,2965.7,2024-09-20
Unknown,2539.0,3.03583314788547,Unknown,9.0,,2024-09-21
Unknown,3112.0,3.03583314788547,Out of Stock,16.0,,2024-09-22
D,2489.0,4.668760788357387,In Stock,42.0,1443.6200000000001,2024-09-23
Unknown,5533.0,3.03583314788547,In Stock,34.0,,2024-09-24
Unknown,8603.0,1.8951382789439115,Out of Stock,35.0,5591.95,2024-09-25
Unknown,6989.0,3.03583314788547,Out of Stock,10.0,,2024-09-26
D,3064.0,1.783514835878143,Out of Stock,22.0,2389.92,2024-09-27
Unknown,176.0,3.03583314788547,Out of Stock,33.0,,2024-09-28
Unknown,8159.0,3.09958403972783,Out of Stock,31.0,5629.709999999999,2024-09-29
A,5080.0,2.1172213117371106,Out of Stock,1.0,5029.2,2024-09-30
Unknown,5642.0,3.03583314788547,Unknown,28.0,,2024-10-01
Unknown,7027.0,1.8155938044552264,In Stock,0.0,7027.0,2024-10-02
Unknown,8407.0,1.1340181503447693,Out of Stock,38.0,5212.34,2024-10-03
Unknown,878.0,3.03583314788547,Unknown,41.0,,2024-10-04
Unknown,2546.0,1.1583134665091674,Out of Stock,34.0,1680.36,2024-10-05
Unknown,9537.0,3.03583314788547,Out of Stock,25.0,,2024-10-06
Unknown,9600.0,3.316477940525572,In Stock,32.0,6527.999999999999,2024-10-07
Unknown,7194.0,3.3294326510510706,Unknown,38.0,4460.28,2024-10-08
Unknown,6968.0,3.739367232964894,Unknown,0.0,6968.0,2024-10-09
C,6292.0,1.1557269813348965,Out of Stock,17.0,5222.36,2024-10-10
C,4870.0,2.878007508713643,Out of Stock,14.0,,2024-10-11
Unknown,6737.0,3.03583314788547,Unknown,38.0,,2024-10-12
Unknown,250.0,1.4368825660019104,In Stock,30.0,175.0,2024-10-13
Unknown,312.0,1.5370201492971782,Unknown,39.0,190.32,2024-10-14
D,8394.0,1.8188132957807648,Out of Stock,22.0,6547.320000000001,2024-10-15
Unknown,1421.0,4.23336229004081,Unknown,0.0,1421.0,2024-10-16
Unknown,8693.0,3.186790808579415,In Stock,24.0,6606.68,2024-10-17
Unknown,2846.0,3.6408580302425873,Unknown,6.0,2675.24,2024-10-18
Unknown,3671.0,3.03583314788547,Unknown,47.0,,2024-10-19
C,766.0,3.45755283587473,Unknown,19.0,620.46,2024-10-20
Unknown,615.0,3.03583314788547,Out of Stock,2.0,,2024-10-21
Unknown,4309.0,3.03583314788547,Out of Stock,17.0,,2024-10-22
Unknown,2947.0,1.093895333353871,Out of Stock,0.0,2947.0,2024-10-23
Unknown,2841.0,2.5109712361162835,In Stock,40.0,1704.6,2024-10-24
B,3923.0,1.4750528082467311,In Stock,10.0,3530.7000000000003,2024-10-25
Unknown,5658.0,3.963020662718985,In Stock,29.0,4017.18,2024-10-26
Unknown,6759.0,3.03583314788547,Out of Stock,35.0,,2024-10-27
Unknown,685.0,3.03583314788547,Out of Stock,24.0,,2024-10-28
Unknown,5206.0,3.03583314788547,Unknown,35.0,,2024-10-29
Unknown,5814.0,4.155485925483445,Out of Stock,12.0,5116.32,2024-10-30
Unknown,1419.0,2.3755719081128803,Unknown,1.0,1404.81,2024-10-31
A,6016.0,1.844219155421802,In Stock,1.0,5955.84,2024-11-01
Unknown,5961.0,3.03583314788547,In Stock,18.0,,2024-11-02
Unknown,9489.0,3.03583314788547,In Stock,5.0,,2024-11-03
Unknown,1558.0,3.03583314788547,Unknown,12.0,,2024-11-04
Unknown,3892.0,1.9802288812656696,In Stock,6.0,3658.48,2024-11-05
Unknown,6904.0,3.03583314788547,Out of Stock,36.0,,2024-11-06
Unknown,663.0,3.084386434089388,Out of Stock,5.0,629.85,2024-11-07
A,1910.0,4.817531508955957,In Stock,0.0,1910.0,2024-11-08
Unknown,2804.0,1.3541939976991424,Out of Stock,35.0,1822.6000000000001,2024-11-09
D,8625.0,4.025419857361529,Unknown,36.0,5520.0,2024-11-10
Unknown,8800.0,4.3667865198588895,Out of Stock,26.0,6512.0,2024-11-11
Unknown,3689.0,3.03583314788547,Out of Stock,3.0,,2024-11-12
A,6869.0,3.010511245777053,Out of Stock,49.0,3503.19,2024-11-13
Unknown,3601.0,3.03583314788547,In Stock,22.0,,2024-11-14
Unknown,6657.0,3.03583314788547,Unknown,47.0,,2024-11-15
D,5146.0,3.1168924314498474,In Stock,10.0,,2024-11-16
B,4242.0,3.993229233892656,Out of Stock,47.0,2248.26,2024-11-17
Unknown,7098.0,1.3018533062171231,Unknown,23.0,5465.46,2024-11-18
A,3348.0,3.089706066939416,In Stock,16.0,,2024-11-19
Unknown,4592.0,3.03583314788547,Out of Stock,25.0,,2024-11-20
A,7005.0,3.089706066939416,Unknown,22.0,,2024-11-21
A,5074.0,3.089706066939416,Out of Stock,41.0,,2024-11-22
A,9602.0,3.089706066939416,Unknown,31.0,,2024-11-23
Unknown,3742.0,4.209122065619451,In Stock,19.0,3031.02,2024-11-24
D,454.0,3.1168924314498474,Out of Stock,32.0,,2024-11-25
Unknown,4903.0,4.615306042277187,Unknown,39.0,2990.83,2024-11-26
Unknown,9658.0,3.03583314788547,Out of Stock,15.0,,2024-11-27
Unknown,4198.0,3.03583314788547,Out of Stock,29.0,,2024-11-28
A,6336.0,3.648349511115054,In Stock,11.0,5639.04,2024-11-29
Unknown,9794.0,4.433559680432691,In Stock,39.0,5974.34,2024-11-30
D,2201.0,3.1168924314498474,In Stock,25.0,,2024-12-01
Unknown,5323.0,3.03583314788547,Out of Stock,16.0,,2024-12-02
A,9152.0,4.768849526844075,Out of Stock,11.0,8145.28,2024-12-03
Unknown,5420.0,3.03583314788547,Out of Stock,21.0,,2024-12-04
D,4763.0,3.1168924314498474,Out of Stock,11.0,,2024-12-05
Unknown,247.0,3.03583314788547,In Stock,0.0,,2024-12-06
Unknown,2060.0,4.743226107544174,Out of Stock,0.0,2060.0,2024-12-07
A,3372.0,3.089706066939416,In Stock,5.0,,2024-12-08
D,8544.0,3.1168924314498474,Unknown,29.0,,2024-12-09
Unknown,3299.0,3.004898449740812,Out of Stock,32.0,2243.3199999999997,2024-12-10
Unknown,2107.0,3.03583314788547,Out of Stock,11.0,,2024-12-11
C,6765.0,3.4017721001746715,Unknown,35.0,4397.25,2024-12-12
Unknown,1853.0,3.03583314788547,Out of Stock,11.0,,2024-12-13
C,8773.0,3.892084161133099,Out of Stock,0.0,8773.0,2024-12-14
Unknown,6671.0,3.03583314788547,Unknown,30.0,,2024-12-15
C,8398.0,3.407813914668218,Out of Stock,4.0,8062.08,2024-12-16
D,8742.0,3.1168924314498474,Unknown,4.0,,2024-12-17
Unknown,8334.0,2.562769446410627,In Stock,16.0,7000.5599999999995,2024-12-18
B,2790.0,3.0985746187075898,In Stock,0.0,,2024-12-19
B,6781.0,3.0985746187075898,Out of Stock,21.0,,2024-12-20
Unknown,1215.0,2.382519172332373,In Stock,30.0,850.5,2024-12-21
Unknown,8857.0,3.03583314788547,In Stock,15.0,,2024-12-22
D,2882.0,3.691887480565236,Out of Stock,0.0,2882.0,2024-12-23
Unknown,6234.0,3.03583314788547,In Stock,28.0,,2024-12-24
Unknown,1214.0,1.4889967970912377,In Stock,4.0,1165.44,2024-12-25
A,6991.0,1.0991491374509073,In Stock,21.0,5522.89,2024-12-26
Unknown,3364.0,3.03583314788547,Out of Stock,3.0,,2024-12-27
Unknown,8785.0,1.231135979753843,Out of Stock,11.0,7818.650000000001,2024-12-28
Unknown,7313.0,3.03583314788547,Out of Stock,1.0,,2024-12-29
Unknown,9999.0,1.8349540527482608,Unknown,30.0,6999.299999999999,2024-12-30
Unknown,8760.0,3.03583314788547,In Stock,49.0,,2024-12-31
B,7933.0,3.0985746187075898,In Stock,36.0,,2025-01-01
Unknown,6092.0,2.596015227920722,Out of Stock,39.0,3716.12,2025-01-02
Unknown,5178.0,3.33510540123526,In Stock,20.0,4142.400000000001,2025-01-03
Unknown,8863.0,3.03583314788547,Out of Stock,0.0,,2025-01-04
D,8514.0,4.704094088630431,Out of Stock,46.0,4597.56,2025-01-05
A,7939.0,1.8201379880557416,Out of Stock,48.0,4128.28,2025-01-06
